n;Temperatura;Planta;Operator;Turno;Lote
1;477;P1;O1;T1;L1
2;472;P1;O1;T1;L2
3;481;P1;O1;T1;L3
4;478;P1;O1;T2;L1
5;475;P1;O1;T2;L2
6;474;P1;O1;T2;L3
7;472;P1;O1;T3;L1
8;475;P1;O1;T3;L2
9;468;P1;O1;T3;L3
10;482;P1;O1;T4;L1
11;477;P1;O1;T4;L2
12;474;P1;O1;T4;L3
13;471;P1;O2;T1;L1
14;474;P1;O2;T1;L2
15;470;P1;O2;T1;L3
16;479;P1;O2;T2;L1
17;482;P1;O2;T2;L2
18;477;P1;O2;T2;L3
19;470;P1;O2;T3;L1
20;477;P1;O2;T3;L2
21;483;P1;O2;T3;L3
22;480;P1;O2;T4;L1
23;473;P1;O2;T4;L2
24;478;P1;O2;T4;L3
25;475;P1;O3;T1;L1
26;472;P1;O3;T1;L2
27;470;P1;O3;T1;L3
28;460;P1;O3;T2;L1
29;469;P1;O3;T2;L2
30;472;P1;O3;T2;L3
31;477;P1;O3;T3;L1
32;483;P1;O3;T3;L2
33;475;P1;O3;T3;L3
34;476;P1;O3;T4;L1
35;480;P1;O3;T4;L2
36;471;P1;O3;T4;L3
37;465;P1;O4;T1;L1
38;464;P1;O4;T1;L2
39;471;P1;O4;T1;L3
40;477;P1;O4;T2;L1
41;475;P1;O4;T2;L2
42;471;P1;O4;T2;L3
43;481;P1;O4;T3;L1
44;477;P1;O4;T3;L2
45;475;P1;O4;T3;L3
46;470;P1;O4;T4;L1
47;475;P1;O4;T4;L2
48;474;P1;O4;T4;L3
49;484;P2;O1;T1;L1
50;477;P2;O1;T1;L2
51;481;P2;O1;T1;L3
52;477;P2;O1;T2;L1
53;482;P2;O1;T2;L2
54;481;P2;O1;T2;L3
55;479;P2;O1;T3;L1
56;477;P2;O1;T3;L2
57;482;P2;O1;T3;L3
58;477;P2;O1;T4;L1
59;470;P2;O1;T4;L2
60;479;P2;O1;T4;L3
61;472;P2;O2;T1;L1
62;475;P2;O2;T1;L2
63;475;P2;O2;T1;L3
64;472;P2;O2;T2;L1
65;475;P2;O2;T2;L2
66;470;P2;O2;T2;L3
67;472;P2;O2;T3;L1
68;477;P2;O2;T3;L2
69;475;P2;O2;T3;L3
70;482;P2;O2;T4;L1
71;477;P2;O2;T4;L2
72;483;P2;O2;T4;L3
73;485;P2;O3;T1;L1
74;481;P2;O3;T1;L2
75;477;P2;O3;T1;L3
76;482;P2;O3;T2;L1
77;483;P2;O3;T2;L2
78;485;P2;O3;T2;L3
79;477;P2;O3;T3;L1
80;476;P2;O3;T3;L2
81;481;P2;O3;T3;L3
82;479;P2;O3;T4;L1
83;476;P2;O3;T4;L2
84;485;P2;O3;T4;L3
85;477;P2;O4;T1;L1
86;475;P2;O4;T1;L2
87;476;P2;O4;T1;L3
88;476;P2;O4;T2;L1
89;471;P2;O4;T2;L2
90;472;P2;O4;T2;L3
91;475;P2;O4;T3;L1
92;475;P2;O4;T3;L2
93;472;P2;O4;T3;L3
94;481;P2;O4;T4;L1
95;470;P2;O4;T4;L2
96;472;P2;O4;T4;L3
97;475;P3;O1;T1;L1
98;470;P3;O1;T1;L2
99;469;P3;O1;T1;L3
100;477;P3;O1;T2;L1
101;471;P3;O1;T2;L2
102;474;P3;O1;T2;L3
103;469;P3;O1;T3;L1
104;473;P3;O1;T3;L2
105;468;P3;O1;T3;L3
106;477;P3;O1;T4;L1
107;475;P3;O1;T4;L2
108;473;P3;O1;T4;L3
109;470;P3;O2;T1;L1
110;466;P3;O2;T1;L2
111;468;P3;O2;T1;L3
112;471;P3;O2;T2;L1
113;473;P3;O2;T2;L2
114;476;P3;O2;T2;L3
115;478;P3;O2;T3;L1
116;480;P3;O2;T3;L2
117;474;P3;O2;T3;L3
118;477;P3;O2;T4;L1
119;471;P3;O2;T4;L2
120;469;P3;O2;T4;L3
121;466;P3;O3;T1;L1
122;465;P3;O3;T1;L2
123;471;P3;O3;T1;L3
124;473;P3;O3;T2;L1
125;475;P3;O3;T2;L2
126;478;P3;O3;T2;L3
127;471;P3;O3;T3;L1
128;469;P3;O3;T3;L2
129;471;P3;O3;T3;L3
130;475;P3;O3;T4;L1
131;477;P3;O3;T4;L2
132;472;P3;O3;T4;L3
133;469;P3;O4;T1;L1
134;471;P3;O4;T1;L2
135;468;P3;O4;T1;L3
136;473;P3;O4;T2;L1
137;475;P3;O4;T2;L2
138;473;P3;O4;T2;L3
139;477;P3;O4;T3;L1
140;470;P3;O4;T3;L2
141;469;P3;O4;T3;L3
142;463;P3;O4;T4;L1
143;471;P3;O4;T4;L2
144;469;P3;O4;T4;L3
145;484;P4;O1;T1;L1
146;477;P4;O1;T1;L2
147;480;P4;O1;T1;L3
148;476;P4;O1;T2;L1
149;475;P4;O1;T2;L2
150;474;P4;O1;T2;L3
151;475;P4;O1;T3;L1
152;470;P4;O1;T3;L2
153;469;P4;O1;T3;L3
154;481;P4;O1;T4;L1
155;476;P4;O1;T4;L2
156;472;P4;O1;T4;L3
157;469;P4;O2;T1;L1
158;475;P4;O2;T1;L2
159;479;P4;O2;T1;L3
160;482;P4;O2;T2;L1
161;483;P4;O2;T2;L2
162;479;P4;O2;T2;L3
163;477;P4;O2;T3;L1
164;479;P4;O2;T3;L2
165;475;P4;O2;T3;L3
166;472;P4;O2;T4;L1
167;476;P4;O2;T4;L2
168;479;P4;O2;T4;L3
169;470;P4;O3;T1;L1
170;481;P4;O3;T1;L2
171;481;P4;O3;T1;L3
172;475;P4;O3;T2;L1
173;470;P4;O3;T2;L2
174;475;P4;O3;T2;L3
175;469;P4;O3;T3;L1
176;477;P4;O3;T3;L2
177;482;P4;O3;T3;L3
178;485;P4;O3;T4;L1
179;479;P4;O3;T4;L2
180;474;P4;O3;T4;L3
181;469;P4;O4;T1;L1
182;473;P4;O4;T1;L2
183;475;P4;O4;T1;L3
184;477;P4;O4;T2;L1
185;473;P4;O4;T2;L2
186;471;P4;O4;T2;L3
187;470;P4;O4;T3;L1
188;468;P4;O4;T3;L2
189;474;P4;O4;T3;L3
190;483;P4;O4;T4;L1
191;477;P4;O4;T4;L2
192;476;P4;O4;T4;L3
